stage,customer_input,internal_computation,customer_facing_output,execution_status,evidence_source,human_step,product_safe_claim,prohibited_claim
1. Metastasis-step hypothesis,Disease + which metastatic cascade step is of interest (e.g. colonization of brain).,Maps the question onto the 8-step metastasis cascade framework to scope which biology matters for that step.,"Step-specific metastasis hypothesis map (which cascade step, what biology is implicated).","data-backed but framework-driven (8-step cascade is a documented model, not a per-tumor causal map)",capability:CAP_04_algorithm_detail (eight_metastasis_steps) | crispro_kg_v2/kg_modules/capability_registry.json,Analyst confirms the cascade step and disease context are correct.,Provides a step-specific metastasis hypothesis map to focus the target search.,A complete causal map of metastasis for this patient/tumor.
2. Target-universe selection,Candidate target universe (gene list) OR request to curate one.,Loads/curates the target universe. Version A: 38-gene panel benchmark. Version B: caller-supplied universe via POST /targets.,Defined target universe scoped to the mission.,executable and live (POST /targets) for caller-supplied universe; 38-gene panel is a fixed benchmark set,endpoint_ref:POST /targets (brm_engine/api/routes.py:48); capability:CAP_04_algorithm_detail (38-gene panel),Team decides the target universe boundaries and inclusion rationale.,Curates and scopes a target universe for a defined metastasis mission.,An exhaustive or guaranteed-complete target universe.
3. Target Lock (metastasis driver identification),Target universe from stage 2.,"Composite Target-Lock scoring. Version A: Evo2 + Enformer + AF3, threshold >=0.35. Version B (production): Evo2 + regulatory/repressor + AF3 (Enformer GATED OFF).",Ranked target report with per-model evidence contributions and uncertainty.,executable and live (production brm_engine); Enformer offline; benchmark AUROC is internal-consistency only,capability:CAP_04 + capability:CAP_04_algorithm_detail | crispro_kg_v2/kg_modules/capability_registry.json; endpoint_ref:GET /targets/{gene} (routes.py:88),Target-discovery lead reviews ranked targets and selects candidates to pursue.,"Prioritizes candidate metastasis drivers with a transparent, per-model evidence trace.","Validated target discovery, guaranteed target success, or external-validation AUROC 0.689."
4. Variant / sequence signals (Evo2),Specific variant(s) or gene sequence context to interrogate.,Evo2-derived evolutionary-constraint / functionality signal via POST /score-variant.,Variant/target sequence-signal trace (evolutionary constraint score).,executable and live (POST /score-variant),endpoint_ref:POST /score-variant (brm_engine/api/routes.py:68); capability:CAP_04_algorithm_detail (step_1_evo2_7b),Computational biologist interprets the signal in study context.,Provides sequence-context interpretation (evolutionary constraint) for a variant/target.,Clinical pathogenicity diagnosis without required validation.
5. Guide generation,Locked target(s) to perturb.,Generates CRISPR guide/spacer candidates for the target.,Ranked spacer/guide design package.,data-backed design output (CRISPR perturbation design capability); wet-lab efficacy unproven,capability:CAP_04 (Interception target-and-guide workspace); Interception capability inventory | crispro_kg_v2/kg_modules/capability_registry.json,CRISPR/functional-genomics lead selects guides for synthesis.,Generates ranked CRISPR perturbation (guide) candidates for a chosen target.,A guide guaranteed to work in the wet lab.
6. Guide efficacy + off-target assessment,Candidate guides from stage 5.,Efficacy heuristics + CFD-style off-target scoring (brain-met pipeline).,Off-target risk record + efficacy ranking (pre-synthesis design-risk review).,data-backed but manual/audit-scope for CFD off-target (older-KB evidence); not a genomic safety certification,"brain-met pipeline CFD off-target (crispro_capability_kb / v1_1_0 audit streams, evidence-lookup scope); capability:CAP_04",Team decides acceptable off-target risk threshold and final guide set.,Provides a pre-synthesis off-target design-risk review for candidate guides.,Comprehensive genomic safety certification.
7. Mission fit,Ranked targets + guides + the metastasis mission.,Mission-fit scoring: does the target/perturbation match the defined metastatic-step mission?,Mission-fit assessment with mismatch explanation.,data-backed (mission-fit scoring within Interception workspace),capability:CAP_04 (mission-fit scoring); Interception capability inventory | crispro_kg_v2/kg_modules/capability_registry.json,Program lead judges whether the fit justifies experimental spend.,Scores how well a target/perturbation fits the defined metastasis mission.,A guarantee that a high-mission-fit target will succeed clinically.
8. AF3 structural receipt,Target gene(s) for structural confidence check.,"AlphaFold3 structural modeling via GET /af3-spec/{gene}, under study-defined gates. ONLY AF3 model 0 reported.",Structural modeling receipt + gate result (pLDDT confidence).,executable and live (GET /af3-spec/{gene}); model-0-only limitation,endpoint_ref:GET /af3-spec/{gene} (brm_engine/api/routes.py:130); capability:CAP_04_algorithm_detail (step_3_alphafold3),Structural/comp-bio reviewer interprets confidence and druggability.,Provides an AF3 structural-confidence receipt and gate result to support design confidence.,Experimental confirmation or therapeutic structural validation; AF3 'pass' as validation.
9. Experiment handoff,Selected target(s) + guide set + receipts.,Assembles the end-to-end assessment package via POST /assess.,"Experiment-handoff package (targets, guides, off-target records, structural receipts, rationale).",executable and live (POST /assess brain_met_routes.py),endpoint_ref:POST /assess (layer4_output/brain_met_routes.py:111),Wet-lab partner receives the package and plans the experiment.,Delivers a traceable experiment-handoff package for wet-lab execution.,That the handoff replaces experimental validation.
10. Wet-lab validation roadmap,The handoff package.,Structures a validation-design roadmap (which experiments de-risk the hypothesis).,Validation Design Package: prioritized experiments to run.,data-backed guidance; the experiments themselves are the partner's wet-lab work,capability:CAP_04 (Interception delivery); Interception capability inventory,Partner executes and owns all wet-lab / functional validation.,Proposes a prioritized wet-lab validation roadmap to de-risk the target/guide hypothesis.,That CrisPRO performs or guarantees the validation outcome.
