section,status,caveat,evidence_entity_id,evidence_source_file
L1 Gateway (API entry + auth + rate limiting),executable_and_live,"Infrastructure, not inference.",arbiter_layer:l1_gateway,scientist-monai-moat/README.md
L2 Input Normalizer (report parser + input contract),executable_and_live,Regex/parse based; report_parser_clinicalbert_v1 is the ML upgrade path (fallback).,arbiter_layer:l2_input_normalizer,scientist-monai-moat/README.md
L2 report parser (ClinicalBERT fine-tuned),executable_and_live,Real fine-tuned token-classification model; used as parser upgrade over regex.,arbiter_model:report_parser_clinicalbert_v1,scientist-monai-moat/docs/model_cards/report_parser_clinicalbert_v1.md
L3 Evidence Retriever (model-card + knowledge retrieval),executable_and_live,Retrieves from KB/model cards; quality bounded by ingested corpus.,arbiter_layer:l3_evidence_retriever,scientist-monai-moat/README.md
L4a Generator (co-scientist hypotheses),executable_and_live,"Hypothesis generation; research-grade, not validated clinical recommendation.",arbiter_layer:l4a_generator,scientist-monai-moat/README.md
L4b Reflection (critique + refinement),executable_and_live,Self-critique pass over generated hypotheses.,arbiter_layer:l4b_reflection,scientist-monai-moat/README.md
L4c Ranker (Elo tournament of hypotheses),executable_and_live,"Elo ranking is a preference ordering, not an outcome probability.",arbiter_layer:l4c_ranker,scientist-monai-moat/README.md
L4c therapy option lookup (therapy-nccn-lite),executable_and_live,"Deterministic NCCN-lite rules lookup — NOT an ML model, NOT prescribing; RUO fallback.",arbiter_model:therapy_nccn_lite,scientist-monai-moat/docs/model_cards/therapy_nccn_lite.md
L4a imaging detector (monai-detector-heuristic),executable_and_live,"Heuristic gradient/edge detector — RESEARCH USE ONLY, NOT a diagnostic detector.",arbiter_model:monai_detector_heuristic,scientist-monai-moat/docs/model_cards/monai_detector_heuristic.md
NSCLC lung heuristic (proxy_lung_heuristic v0),executable_and_live,"Proxy heuristic — research/demonstration only, not for diagnosis.",arbiter_model:nsclc_lung_heuristic_v0,scientist-monai-moat/docs/model_cards/nsclc_lung_heuristic_v0.md
"Multimodal reasoning models (MedGemma 27B / 4B, MedSigLIP-448, TxGemma, biopsy MedSigLIP probe)",executable_but_offline,Model cards ingested; heavy multimodal weights are integration-dependent and not guaranteed live in every deployment.,arbiter_model:medgemma_1_27b,scientist-monai-moat/docs/model_cards/medgemma_1_27b.md
L5 Arbiter Output (structured verdict + evidence pointers + RUO disclaimer),executable_and_live,Output always carries RUO disclaimer.,arbiter_layer:l5_arbiter_output,scientist-monai-moat/README.md
Synthetic-lethality / vulnerability findings surfaced into case,data_backed_but_manual,"SL evidence exists in KB (sl_evidence_record, sl_engine); patient-specific application is a hypothesis, not a validated therapeutic fact.",capability:CAP_05,crispro_kg_v2/kg_modules/capability_registry.json
Trial exploration surfaced into case,data_backed_but_manual,"Draws on trial vector library / program dossiers; exploration only, not enrollment/responder prediction.",capability:CAP_03,crispro_kg_v2/kg_modules/capability_registry.json
Frontend SPA (React + Vite) case UI,executable_but_offline,"Optional single-page UI served under /ui/; RUO, not for diagnostic use; deployment-optional.",arbiter_model:frontend_spa,scientist-monai-moat/docs/model_cards/frontend_spa.md
"Demo cases (case_full, nsclc, ak_mbd4_lof_case, biopsy, screening, elo_rank)",demo_fixture,Regulatory-posture-locked walkthrough fixtures — NOT the product's evidence base; must not be presented as 'four patients'.,demo_sample:case_full,scientist-monai-moat/src/oncology_arbiter/api/static/demo_samples/case_full.json
GBM ZEB1 escape annotation in case output,quarantined,GBM ZEB1 PERMANENTLY CLOSED (3 datasets null/contradicted) — must not appear as an escape marker in any case.,gov_kgv2:mandatory_disclosures,crispro_kg_v2/kg_modules/platform_identity_governance.json
LATIFY delta / DDR 0.983 as case figures,quarantined,QUARANTINED figures — must not be surfaced as case evidence.,gov_kgv2:prohibited_claims,crispro_kg_v2/kg_modules/platform_identity_governance.json
