id,category,requires_metadata,faithfulness,faith_supported,faith_total_claims,answer_correctness_f1,corr_TP,corr_FP,corr_FN,corr_method,hit_at_5,rank_unfiltered,mrr,corr_note,question
Q01,content,False,1.0,1,1,0.4,1,0,3,llm_judge,True,1,1.0,"TP=1, FP=0, FN=3",What is the PATH A mechanism-fit formula used by CrisPRO's Mechanism Fit Engine?
Q02,content,False,1.0,6,6,1.0,4,0,0,llm_judge,True,3,0.3333,All facts in the answer are present and correct; no errors or omissions.,Which three models make up the Target-Lock composite algorithm and what does each contribute?
Q03,content,False,1.0,9,9,0.4,1,2,1,llm_judge,True,3,0.3333,Correctly identifies Gate 1 IHC ≥80% but adds extra criteria not in ground truth and omits the 28% proportion reference.,What are the two gates in CrisPRO's Two-Gate Patient Selection Framework for CEACAM5-targeted therapies?
Q04,content,False,1.0,2,2,0.8,2,0,1,llm_judge,True,1,1.0,Answer correctly states delta and CRISPR_VALIDATED but omits FDR value.,What is the BRIEF-1 axis and its CRISPR validation status?
Q05,content,False,1.0,1,1,0.6667,1,0,1,llm_judge,True,3,0.3333,Answer correctly reports the HR value but omits the confidence interval and p‑value from the ground truth.,What hazard ratio did CrisPRO report for OV ZEB1 in the continuous Cox model on the bevacizumab arm?
Q06,content,False,1.0,2,2,0.3333,1,0,4,llm_judge,True,1,1.0,"Answer correctly identifies cCEA as the highest‑ranking biomarker with a score of 27/33, but omits the other four biomarker scores listed in the ground truth.","In the CEACAM5 biomarker ranking, which biomarker ranked highest and what was its score?"
Q07,content,False,1.0,1,1,1.0,1,0,0,llm_judge,True,2,0.5,Correct,What is the enzymatic target of MRTX1719 according to the CrisPRO knowledge base?
Q08,content,False,1.0,3,3,0.2857,1,1,4,llm_judge,True,2,0.5,Answer correctly states ZEB1 is not a valid escape marker (TP) but adds an unsupported claim about expression decreasing (FP) and omits several ground‑truth details (FN).,What did CrisPRO conclude about GBM ZEB1 as an escape marker?
Q09,metadata,True,1.0,2,2,0.0,0,1,1,llm_judge,True,3,0.3333,Answer incorrectly identifies the layer as Layer 1 and does not mention the interception product layer.,Which product layer does the Target-Lock capability (CAP_04) belong to?
Q10,metadata,True,1.0,4,4,0.5,2,2,2,llm_judge,True,1,1.0,"The answer correctly identifies the computational hypothesis classification and the lack of CRISPR validation, but it adds unsupported claims about mandatory disclosure and licensing validation, and omits the deal_ready false and validation_required status.",What is the evidence tier / governance status of BRIEF-2 (PTEN-null → ITGAV)?
Q11,metadata,True,0.75,3,4,0.6667,1,1,0,llm_judge,True,1,1.0,,Which product layer contains the off-target / guide-design (CFD) scoring capability in the brain-met interception pipeline?
Q12,metadata,True,1.0,2,2,0.0,0,1,2,llm_judge,True,1,1.0,The answer provides an incorrect source KB and omits the correct source KB and product layer stated in the ground truth.,What source KB and product layer does the PATH A locked formula governance item come from?
Q13,metadata,True,1.0,5,5,0.0,0,1,1,llm_judge,True,5,0.2,"The answer incorrectly identifies the product layer as the first layer of the CrisPRO architecture and does not mention the insilico_trials product layer, omitting the correct fact.",Which product layer do the decoded clinical trial mechanism vectors belong to?
Q14,governance,False,1.0,2,2,0.8,2,0,1,llm_judge,True,1,1.0,"Answer correctly states that CrisPRO is prohibited from predicting individual outcomes and that governance requires disclosure of this, but it omits the detail that CrisPRO provides only research‑use‑only mechanistic hypotheses.",Does CrisPRO claim to predict individual patient outcomes? What does its governance say?
Q15,governance,False,1.0,0,0,0.8571,3,0,1,deterministic_fallback,True,1,1.0,DETERMINISTIC FALLBACK (LLM judge quota-exhausted): answer contains status=QUARANTINED + responder 0.8936 + non-responder 0.6295 + conflict/resolve language (TP=3); no wrong facts (FP=0); fails to cleanly commit 'No'/state delta prohibited (FN=1).,"Is the LATIFY delta value safe to cite publicly, and what is the quarantine status?"
Q16,governance,False,1.0,3,3,0.8571,3,1,0,llm_judge,True,2,0.5,"Answer correctly states all three ground‑truth facts (SC‑001 active conflict, CT26 BRAF V600E, BreAK CRC‑001 requires BRAF‑wild‑type) but adds an extra claim about needing resolution before enrollment, which is not present in the ground truth.",What is the SC-001 active conflict in the CrisPRO knowledge base?
Q17,governance,False,1.0,4,4,0.8,2,1,0,llm_judge,True,2,0.5,"Answer correctly identifies that the DL-07 DDR 0.983 figure is quarantined and that it is implausibly high, but adds that this is likely due to a computation error and that it cannot be published until the error is resolved—statements not present in the ground truth.",Why is the DL-07 DDR 0.983 figure quarantined?
Q18,governance,False,1.0,0,0,0.0,0,0,1,llm_judge,True,5,0.2,"The answer 'INSUFFICIENT CONTEXT' does not assert any correct fact from the ground truth; it omits the key fact that the claim is prohibited, so FN=1, TP=FP=0, f1=0.",Is the MSK-MET AUROC of 0.689 a valid external-validation claim for CrisPRO?
